PoiID	NEAR_X	NEAR_Y
0	856977.0254	1758452.368
1	956506.367	1525105.51
2	957353.926	1526754.129
3	967941.2268	1451433.568
4	967941.2268	1451433.568
5	967941.2268	1451433.568
6	955944.5119	1523769.808
7	955955.7616	1523784.037
8	956527.6673	1525111.034
9	956721.0067	1525471.868
10	955951.2122	1523774.705
11	955963.7022	1523802.911
12	956322.9201	1524728.637
13	955941.7118	1523769.382
14	956097.4716	1524219.123
15	824069.5171	1546449.046
16	957269.0016	1492285.34
17	967865.695	1451668.473
18	967878.757	1452596.069
19	967878.4755	1452595.859
20	966310.665	1450308.413
21	966509.0388	1450427.13
22	966409.8723	1450397.399
23	967609.8493	1450777.265
24	966443.6867	1451445.174
25	956789.2228	1526312.15
26	956750.6906	1525554.461
27	964306.5338	1460133.697
28	856758.0231	1758776.073
29	855087.2355	1763672.041
30	855089.5114	1763670.602
31	855096.0936	1763666.44
32	855114.8893	1763653.27
33	805887.6809	1544718.764
34	911297.5858	1698730.498
35	911356.2518	1698529.056
36	911297.5603	1698730.574
37	956806.5045	1526248.371
38	957128.0192	1527315.647
39	957023.0332	1526496.063
40	956810.7335	1525901.091
41	956799.9495	1526733.307
42	956802.1628	1526597.079
43	956803.3709	1526410.109
44	956806.8831	1526892.446
45	957237.0206	1527048.69
46	957200.1696	1527061.367
47	956755.7177	1527190.331
48	956755.0991	1527192.746
49	957776.9266	1545658.633
50	959715.1268	1526505.004
51	958104.5688	1526379.328
52	958360.736	1526469.044
53	958255.7755	1526435.354
54	958534.2214	1526521.229
55	958126.5841	1526387.876
56	958161.8504	1526401.261
57	958023.4206	1526350.152
58	933284.9137	1540724.925
59	934064.2283	1536349.013
60	934284.1193	1536201.646
61	937917.0763	1539777.466
62	937685.4761	1544335.731
63	941655.8961	1543868.461
64	955510.6381	1527999.095
65	955436.2477	1528024.759
66	952143.4115	1529041.16
67	952925.9011	1529514.145
68	952116.9973	1529041.506
69	948631.7879	1529846.429
70	950722.977	1532407.619
71	950914.6572	1532287.582
72	948016.7285	1533078.212
73	950514.0212	1528866.754
74	948727.3584	1528815.762
75	830136.6502	1746682.611
76	830136.6502	1746682.611
77	830136.6502	1746682.611
78	830136.6502	1746682.611
79	830136.6502	1746682.611
80	830136.6502	1746682.611
81	830136.6502	1746682.611
82	830136.6502	1746682.611
83	830136.6502	1746682.611
84	830136.6502	1746682.611
85	941505.8459	1544459.362
86	943436.0581	1548586.071
87	959825.9635	1531443.033
88	857940.3517	1758577.473
89	860485.1871	1760508.263
90	860485.1871	1760508.263
91	855147.1797	1759536.315
92	855867.3237	1759107.48
93	959715.1268	1526505.004
94	959715.1268	1526505.004
95	959715.1268	1526505.004
96	959715.1268	1526505.004
97	959715.1268	1526505.004
98	855135.9078	1759556.744
99	854711.7726	1759803.991
100	956645.7384	1526797.921
101	953691.8539	1528440.713
102	953736.4626	1528424.703
103	953661.5021	1528451.443
104	855263.0571	1759397.902
105	948195.8493	1532544.636
106	856266.5319	1759106.062
107	912076.649	1547798.25
108	857598.8897	1758534.147
109	855925.169	1758345.02
110	855925.169	1758345.02
111	855964.1978	1758401.466
112	858040.2685	1758586.107
113	855874.1232	1758361.283
114	856291.905	1758543.85
115	856113.5858	1758758.931
116	856110.763	1758766.24
117	856396.1196	1758880.216
118	856078.8876	1758858.786
119	858041.1597	1758586.184
120	859438.0614	1760892.745
121	859166.5595	1761045.085
122	856062.5375	1758759.848
123	856725.9076	1758483.25
124	855810.5656	1758371.004
125	859769.4593	1758836.07
126	924071.0326	1541215.317
127	924070.1549	1541147.598
128	923371.706	1541142.37
129	923056.3652	1541294.655
130	924068.8534	1541078.783
131	924071.0617	1541217.161
132	924127.597	1540800.44
133	920958.4633	1614741.443
134	920982.7705	1614809.727
135	920471.205	1612535.06
136	920517.5626	1612331
137	921177.1497	1617339.105
138	958004.4667	1526876.821
139	956061.8673	1520094.263
140	931138.5496	1543904.627
141	965558.8805	1450014.198
142	966272.8052	1450334.695
143	966277.4702	1450363.126
144	966811.2094	1451778.281
145	967469.0528	1452298.367
146	967996.3648	1450898.305
147	967914.636	1450874.795
148	967877.2852	1451639.865
149	967839.5167	1451729.257
150	967615.0282	1452396.708
151	967878.7573	1452596.069
152	967878.9898	1452596.242
153	969087.8602	1451216.907
154	968937.1157	1451165.706
155	965604.5947	1452016.327
156	965916.9703	1451368.851
157	966593.3416	1451569.586
158	966707.1824	1451664.45
159	966563.3336	1451544.895
160	938415.6246	1551809.673
161	938680.2234	1552287.197
162	944083.7752	1540527.896
163	933355.275	1599555.873
164	967323.2302	1450688.725
165	895447.5143	1545460.69
166	923566.3808	1541048.761
167	856431.5368	1758478.962
168	856847.1549	1758470.389
169	922984.6012	1541332.031
170	923973.6436	1542786.275
171	923961.3312	1542414.029
172	945058.892	1539262.792
173	944017.4229	1539008.086
174	926143.1611	1540152.641
175	923159.343	1541244.606
176	923168.4163	1541240.139
177	924071.165	1541223.71
178	923609.4776	1541026.254
179	931687.3752	1544101.197
180	923533.6561	1541064.731
181	922346.7511	1543358.115
182	923046.1471	1541299.977
183	918646.4562	1543641.982
184	921431.2563	1539489.794
185	923958.103	1542692.725
186	924017.6179	1540830.107
187	946983.1248	1536614.291
188	924068.8609	1541079.045
189	956922.0166	1525669.772
190	957037.6208	1525779.763
191	957155.657	1525885.888
192	957302.2862	1526003.83
193	955283.9588	1524378.793
194	855879.9317	1763123.09
195	855808.4014	1763174.369
196	858715.1198	1759019.875
197	958237.7517	1527556.035
198	944785.1562	1539002.269
199	855925.169	1758345.02
200	855925.169	1758345.02
201	855925.169	1758345.02
202	955293.597	1524529.918
203	957549.5237	1527062.523
204	955129.2716	1524866.45
205	955071.7648	1524968.569
206	923193.0614	1543838.865
207	955304.1527	1524538.913
208	948937.3983	1531819.379
209	948635.4764	1529683.563
210	949281.0811	1528801.631
211	950108.3307	1532750.019
212	950005.4564	1532774.168
213	948343.3342	1529537.293
214	946887.4686	1528990.132
215	948629.9169	1529913.496
216	948575.593	1530653.798
217	859068.5329	1759438.198
218	948620.0212	1531732.947
219	857198.9077	1758415.253
220	857312.5974	1758440.959
221	800007.3223	1709333.409
222	823907.5097	1553556.563
223	823903.5665	1553557.249
224	805710.9198	1622668.617
225	805765.3178	1622748.375
226	805760.5052	1622759.205
227	805760.3453	1622759.565
228	799934.6246	1709360.858
229	833345.915	1758452.855
230	944115.4811	1539007.689
231	944109.4164	1538997.614
232	944079.8778	1538997.732
233	944283.559	1538998.151
234	950670.2097	1532460.783
235	857427.5258	1760921.034
236	957354.2085	1526753.47
237	957361.2391	1526737.082
238	957346.7815	1526770.783
239	957353.5669	1526754.966
240	956760.5719	1527171.378
241	936476.385	1613481.16
242	936420.6073	1613146.864
243	776505.0953	1626642.768
244	856004.8572	1758439.252
245	918038.9061	1682017.017
246	849691.7288	1757554.742
247	849445.6817	1757571.732
248	907491.6483	1673735.108
249	907853.857	1674266.035
250	907852.2871	1674263.867
251	910397.1491	1674493.554
252	905481.7666	1674510.823
253	908725.3135	1675444.282
254	908199.6325	1676577.448
255	908320.3213	1676598.228
256	908540.2507	1676585.694
257	909560.2292	1674281.305
258	908370.5721	1675392.65
259	910454.5914	1673147.201
260	906725.536	1675912.934
261	908995.3625	1672953.676
262	909049.7695	1672944.43
263	908064.9553	1675353.399
264	909567.9661	1674265.899
265	909565.0236	1674271.758
266	909554.345	1674293.021
267	908786.0701	1674392.363
268	909072.0454	1672940.53
269	909004.0927	1672952.42
270	908993.5702	1672953.934
271	909007.024	1672951.907
272	909028.5697	1672948.139
273	909601.9906	1674198.397
274	908192.7457	1675362.735
275	908178.4555	1675360.443
276	908209.2476	1675365.382
277	909580.7989	1674240.347
278	909118.6327	1675190.61
279	909118.1227	1675191.642
280	908425.8021	1675410.443
281	906409.7939	1674631.484
282	906886.9454	1674307.359
283	910205.2587	1675227.688
284	908096.9962	1674373.806
285	910156.8469	1675426.823
286	910156.5797	1675428.041
287	910231.8646	1675128.476
288	910197.6263	1675256.238
289	909259.0643	1674386.031
290	909533.728	1674334.073
291	907496.4246	1675262.896
292	909404.6548	1674400.471
293	909285.6806	1674398.084
294	909432.0429	1674543.951
295	909365.5222	1674399.753
296	908215.6093	1674377.742
297	909671.1786	1674469.185
298	908124.379	1674374.791
299	908358.1329	1675390.53
300	908049.4486	1674371.578
301	908304.0289	1674380.603
302	908523.8764	1675415.449
303	906739.3743	1674309.58
304	906684.6631	1674318.384
305	904640.5054	1673144.128
306	905553.6282	1674509.08
307	905501.7528	1674510.339
308	905524.5144	1674509.786
309	905562.8668	1674508.856
310	902716.9103	1674968.839
311	913527.0146	1676905.926
312	913524.0366	1676903.948
313	913402.9243	1676823.528
314	902463.9294	1674977.538
315	902465.9707	1674978.012
316	902461.9006	1674977.066
317	901591.424	1675127.857
318	857120.746	1751243.69
319	852887.6877	1752820.892
320	856758.3716	1758775.97
321	859355.7358	1760944.51
322	859371.2552	1760936.189
323	851794.8614	1753984.91
324	851442.3361	1754719.472
325	835192.0679	1763345.754
326	834750.686	1762271.593
327	835224.1728	1763415.901
328	834750.1483	1762268.237
329	823126.9082	1754829.177
330	839151.4625	1752837.197
331	907140.0718	1685583.314
332	834578.3419	1725041.538
333	834569.1389	1725032.025
334	834582.9369	1725044.694
335	855128.2335	1715082.812
336	855125.6127	1715086.05
337	845099.8559	1698282.946
338	845099.8559	1698282.946
339	845099.8559	1698282.946
